날짜,hs_code,품목명,국가명,수출입구분,수출금액,중량
2024-02-01,8529,반도체,미국,Export,326134667,954.3955021
2024-03-01,8591,반도체,미국,Export,420477951,3410.881573
2024-04-01,8540,반도체,미국,Import,0,1363.913976
2024-05-01,8569,반도체,미국,Export,137806295,4981.643129
2024-06-01,8541,반도체,미국,Import,0,1761.245976
2024-07-01,8512,반도체,미국,Import,0,2082.089823
2024-08-01,8581,반도체,미국,Export,394816919,3378.042448
2024-09-01,8598,반도체,미국,Export,335115866,124.8017608
2024-10-01,8563,반도체,미국,Export,229727830,4972.841567
2024-11-01,8523,반도체,미국,Import,0,3757.807885
2024-12-01,8526,반도체,미국,Export,160949788,2758.44713
2025-01-01,8531,반도체,미국,Import,0,4867.751718
2025-02-01,8536,반도체,미국,Import,0,1815.384198
2025-03-01,8578,반도체,미국,Import,0,2546.047561
2025-04-01,8526,반도체,미국,Import,0,2402.728119
2025-05-01,8546,반도체,미국,Import,0,2198.102327
2025-06-01,8572,반도체,미국,Export,159791539,1035.464053
2025-07-01,8527,반도체,미국,Export,282832618,4687.158393
2025-08-01,8533,반도체,미국,Export,112370171,3388.603232
2025-09-01,8511,반도체,미국,Import,0,4258.481995
2025-10-01,8548,반도체,미국,Import,0,4065.869662
2025-11-01,8522,반도체,미국,Export,49981148,125.4058276
2025-12-01,8517,반도체,미국,Export,353963769,3999.38408
2021-01-01,8775,자동차,미국,Export,224852320,3392.928063
2021-02-01,8771,자동차,미국,Export,150405213,
2021-03-01,8779,자동차,미국,Import,0,2731.703893
2021-04-01,8769,자동차,미국,Export,115752303,3152.163332
2021-05-01,8756,자동차,미국,Import,0,777.9301528
2021-06-01,8739,자동차,미국,Import,0,2054.222417
2021-07-01,8771,자동차,미국,Export,419630259,3510.27361
2021-08-01,8710,자동차,미국,Export,226752592,1274.95806
2021-09-01,8710,자동차,미국,Export,477883987,3715.694892
2021-10-01,8776,자동차,미국,Export,131388184,1844.266125
2021-11-01,8787,자동차,미국,Import,0,561.3692425
2021-12-01,8778,자동차,미국,Export,242345176,579.3873872
2022-01-01,8742,자동차,미국,Import,0,
2022-02-01,8743,자동차,미국,Export,137837875,174.9922474
2022-03-01,8778,자동차,미국,Import,0,3117.670706
2022-04-01,8741,자동차,미국,Export,470712818,2919.823472
2022-05-01,8742,자동차,미국,Import,0,4121.133431
2022-06-01,8749,자동차,미국,Export,453621814,
2022-07-01,8711,자동차,미국,Import,0,3129.444033
2022-08-01,8735,자동차,미국,Export,343990697,1769.06039
2022-09-01,8767,자동차,미국,Import,0,3181.819949
2022-10-01,8730,자동차,미국,Export,484114470,2785.062228
2022-11-01,8758,자동차,미국,Export,368507400,725.6796742
2022-12-01,8732,자동차,미국,Import,0,4306.222484
2023-01-01,8798,자동차,미국,Export,126735714,1950.871542
2023-02-01,8798,자동차,미국,Export,166824304,4488.06382
2023-03-01,8728,자동차,미국,Import,0,1664.636824
2023-04-01,8792,자동차,미국,Export,251582572,508.0936149
2023-05-01,8761,자동차,미국,Import,0,3786.635194
2023-06-01,8762,자동차,미국,Export,252265949,382.0379241
2023-07-01,8796,자동차,미국,Import,0,3558.574271
2023-08-01,8767,자동차,미국,Import,0,595.501113
2023-09-01,8751,자동차,미국,Export,204359284,4470.294853
2023-10-01,8747,자동차,미국,Import,0,1933.926899
2023-11-01,8780,자동차,미국,Export,493140521,3791.553108
2023-12-01,8770,자동차,미국,Export,195213919,3554.913385
2024-01-01,8776,자동차,미국,Import,0,2085.490225
2024-02-01,8781,자동차,미국,Export,67587860,3281.13048
2024-03-01,8771,자동차,미국,Export,206109217,2440.802965
2024-04-01,8715,자동차,미국,Export,403033532,4891.713277
2024-05-01,8789,자동차,미국,Export,268573543,
2024-06-01,8729,자동차,미국,Export,46962928,914.4556164
2024-07-01,8710,자동차,미국,Export,317503459,2963.140128
2024-08-01,8721,자동차,미국,Export,479764179,383.533099
2024-09-01,8717,자동차,미국,Export,93143152,3269.556972
2024-10-01,8737,자동차,미국,Import,0,4874.534558
2024-11-01,8726,자동차,미국,Export,147084118,2114.912932
2024-12-01,8722,자동차,미국,Import,0,4130.43249
2025-01-01,8756,자동차,미국,Export,460396510,505.4672582
2025-02-01,8714,자동차,미국,Import,0,1944.670498
2025-03-01,8758,자동차,미국,Import,0,3772.93367
2025-04-01,8758,자동차,미국,Export,420781065,2396.596483
2025-05-01,8764,자동차,미국,Import,0,4083.214945
2025-06-01,8762,자동차,미국,Export,296723270,3657.992136
2025-07-01,8794,자동차,미국,Export,230766626,732.8811342
2025-08-01,8771,자동차,미국,Export,440328127,
2025-09-01,8748,자동차,미국,Export,339070865,2649.507734
2025-10-01,8721,자동차,미국,Import,0,4843.071451
2025-11-01,8726,자동차,미국,Export,75667461,241.0351139
2025-12-01,8775,자동차,미국,Import,0,4525.440188
2021-01-01,7259,철강,미국,Import,0,2021.995821
2021-02-01,7261,철강,미국,Export,278248690,2309.461192
2021-03-01,7260,철강,미국,Import,0,4002.711701
2021-04-01,7226,철강,미국,Export,136539750,2349.765206
2021-05-01,7286,철강,미국,Export,112474087,2940.284679
2021-06-01,7232,철강,미국,Export,72742461,844.3231982
2021-07-01,7213,철강,미국,Import,0,4494.263209
2021-08-01,7259,철강,미국,Export,304948343,1196.860423
2021-09-01,7251,철강,미국,Export,96735137,534.6424154
2021-10-01,7255,철강,미국,Export,188492231,2566.744627
2021-11-01,7256,철강,미국,Import,0,500.6192565
2021-12-01,7270,철강,미국,Export,11271561,4354.675424
2022-01-01,7261,철강,미국,Export,112581168,1915.313304
2022-02-01,7296,철강,미국,Export,270320219,
2022-03-01,7216,철강,미국,Export,346711097,4237.759296
2022-04-01,7227,철강,미국,Export,229232059,2709.824606
2022-05-01,7237,철강,미국,Export,19834886,1678.187911
2022-06-01,7253,철강,미국,Export,124276041,1780.341635
2022-07-01,7227,철강,미국,Import,0,2731.822055
2022-08-01,7292,철강,미국,Export,195598586,1753.489486
2022-09-01,7268,철강,미국,Export,184487395,4933.924719
2022-10-01,7231,철강,미국,Import,0,1890.248416
2022-11-01,7271,철강,미국,Export,149696632,949.5306169
2022-12-01,7240,철강,미국,Export,211094445,4913.655223
2023-01-01,7284,철강,미국,Export,434098491,4103.653148
2023-02-01,7260,철강,미국,Export,412222121,3620.440627
2023-03-01,7254,철강,미국,Export,387051537,1016.514368
2023-04-01,7229,철강,미국,Export,128780768,662.7004412
2023-05-01,7246,철강,미국,Export,257990938,4666.870277
2023-06-01,7215,철강,미국,Import,0,
2023-07-01,7222,철강,미국,Export,345440058,530.5537451
2023-08-01,7218,철강,미국,Export,301862982,2410.723324
2023-09-01,7258,철강,미국,Import,0,3755.275175
2023-10-01,7284,철강,미국,Import,0,
2023-11-01,7231,철강,미국,Import,0,3929.420961
2023-12-01,7269,철강,미국,Import,0,904.9024099
2024-01-01,7235,철강,미국,Import,0,1649.363253
2024-02-01,7281,철강,미국,Export,225176105,1947.027704
2024-03-01,7232,철강,미국,Export,224984890,2929.682727
2024-04-01,7275,철강,미국,Export,276340901,4541.713344
2024-05-01,7215,철강,미국,Export,173079735,3679.69077
2024-06-01,7238,철강,미국,Import,0,3733.158465
2024-07-01,7266,철강,미국,Export,162743813,1317.596785
2024-08-01,7295,철강,미국,Export,359891400,2520.509287
2024-09-01,7222,철강,미국,Export,64209551,4247.616229
2024-10-01,7238,철강,미국,Import,0,2483.151662
2024-11-01,7236,철강,미국,Export,324162340,3500.347378
2024-12-01,7278,철강,미국,Export,415131425,4799.466493
2025-01-01,7232,철강,미국,Export,236382843,4741.688364
2025-02-01,7271,철강,미국,Export,59389355,1354.476106
2025-03-01,7277,철강,미국,Import,0,212.8107635
2025-04-01,7240,철강,미국,Import,0,2178.240289
2025-05-01,7295,철강,미국,Export,456236237,701.772831
2025-06-01,7245,철강,미국,Export,71084713,4612.125225
2025-07-01,7249,철강,미국,Export,307868252,1958.597922
2025-08-01,7266,철강,미국,Export,12269691,1734.145941
2025-09-01,7284,철강,미국,Import,0,2381.930599
2025-10-01,7252,철강,미국,Export,26094868,4572.472368
2025-11-01,7261,철강,미국,Export,215273470,4582.744915
2025-12-01,7231,철강,미국,Import,0,1142.135843
2021-01-01,8458,기계,미국,Export,283079630,4317.096888
2021-02-01,8480,기계,미국,Export,301738658,428.6747392
2021-03-01,8492,기계,미국,Export,181199629,2394.335959
2021-04-01,8425,기계,미국,Export,286772155,421.9723332
2021-05-01,8475,기계,미국,Import,0,2457.330947
2021-06-01,8413,기계,미국,Export,99144783,4322.749543
2021-07-01,8483,기계,미국,Import,0,2680.234487
2021-08-01,8441,기계,미국,Export,360826392,
2021-09-01,8497,기계,미국,Export,106095418,2576.988608
2021-10-01,8476,기계,미국,Import,0,2827.935765
2021-11-01,8497,기계,미국,Export,363910796,4292.912694
2021-12-01,8446,기계,미국,Export,79130105,2091.322311
2022-01-01,8483,기계,미국,Export,51899180,
2022-02-01,8445,기계,미국,Export,325033526,3549.336062
2022-03-01,8420,기계,미국,Export,137117482,1960.4928
2022-04-01,8414,기계,미국,Import,0,3891.789164
2022-05-01,8495,기계,미국,Import,0,659.765837
2022-06-01,8496,기계,미국,Export,401929075,
2022-07-01,8449,기계,미국,Export,352434468,2072.495214
2022-08-01,8413,기계,미국,Import,0,4512.804276
2022-09-01,8479,기계,미국,Export,458006415,676.9803062
2022-10-01,8426,기계,미국,Export,208571563,2537.577981
2022-11-01,8495,기계,미국,Export,77073958,4510.091345
2022-12-01,8421,기계,미국,Import,0,2521.941866
2023-01-01,8494,기계,미국,Export,197737878,
2023-02-01,8474,기계,미국,Export,50571347,3055.445336
2023-03-01,8449,기계,미국,Export,224224764,4586.017019
2023-04-01,8463,기계,미국,Import,0,3351.98871
2023-05-01,8442,기계,미국,Import,0,2745.229617
2023-06-01,8490,기계,미국,Import,0,3024.52996
2023-07-01,8482,기계,미국,Import,0,3668.124905
2023-08-01,8451,기계,미국,Export,235243941,
2023-09-01,8460,기계,미국,Export,143351117,2992.130268
2023-10-01,8458,기계,미국,Export,77041129,4756.163034
2023-11-01,8471,기계,미국,Import,0,3816.122828
2023-12-01,8489,기계,미국,Export,426105869,1323.373243
2024-01-01,8435,기계,미국,Export,35281945,
2024-02-01,8426,기계,미국,Export,98481919,2882.93163
2024-03-01,8416,기계,미국,Import,0,4629.541357
2024-04-01,8491,기계,미국,Export,375081628,368.9248118
2024-05-01,8426,기계,미국,Export,328582001,1887.016522
2024-06-01,8412,기계,미국,Export,351181500,1765.387322
2024-07-01,8424,기계,미국,Import,0,2738.167303
2024-08-01,8442,기계,미국,Export,444129096,3117.729622
2024-09-01,8451,기계,미국,Export,495267243,101.1638655
2024-10-01,8448,기계,미국,Export,14647862,358.1507963
2024-11-01,8466,기계,미국,Export,294571031,1431.266158
2024-12-01,8493,기계,미국,Export,371415327,1270.008014
2025-01-01,8439,기계,미국,Export,427882692,3606.211245
2025-02-01,8462,기계,미국,Import,0,2196.088355
2025-03-01,8421,기계,미국,Export,478643691,4010.147679
2025-04-01,8448,기계,미국,Export,440767970,4729.186909
2025-05-01,8434,기계,미국,Import,0,418.4334065
2025-06-01,8463,기계,미국,Export,307791029,2612.173704
2025-07-01,8450,기계,미국,Export,101354748,3919.96392
2025-08-01,8456,기계,미국,Export,115998771,2639.475797
2025-09-01,8444,기계,미국,Import,0,3510.501028
2025-10-01,8422,기계,미국,Export,119670631,2731.174672
2025-11-01,8420,기계,미국,Import,0,1401.440209
2025-12-01,8434,기계,미국,Import,0,273.5696053
2021-01-01,8520,반도체,중국,Export,52623512,2101.420744
2021-02-01,8514,반도체,중국,Export,33903955,2709.752345
2021-03-01,8537,반도체,중국,Export,47304121,4270.913879
2021-04-01,8567,반도체,중국,Import,0,3344.34885
2021-05-01,8542,반도체,중국,Import,0,4007.387506
2021-06-01,8568,반도체,중국,Import,0,1736.643506
2021-07-01,8572,반도체,중국,Import,0,1027.185545
2021-08-01,8540,반도체,중국,Import,0,731.4623506
2021-09-01,8540,반도체,중국,Export,10548854,2825.290502
2021-10-01,8575,반도체,중국,Export,150648685,3122.9419
2021-11-01,8569,반도체,중국,Export,14445478,4111.52916
2021-12-01,8580,반도체,중국,Export,275220623,4818.660819
2022-01-01,8546,반도체,중국,Export,60229766,4692.419587
2022-02-01,8573,반도체,중국,Export,357004323,430.0179472
2022-03-01,8591,반도체,중국,Import,0,4870.095949
2022-04-01,8561,반도체,중국,Export,381548966,
2022-05-01,8588,반도체,중국,Export,411204965,
2022-06-01,8538,반도체,중국,Export,472708781,600.7487365
2022-07-01,8538,반도체,중국,Import,0,1181.771103
2022-08-01,8531,반도체,중국,Export,74354211,4353.46618
2022-09-01,8530,반도체,중국,Import,0,4301.064451
2022-10-01,8578,반도체,중국,Export,492149047,2105.736631
2022-11-01,8570,반도체,중국,Export,108175980,4353.801786
2022-12-01,8589,반도체,중국,Export,276184074,880.3041176
2023-01-01,8517,반도체,중국,Export,387751703,4239.437818
2023-02-01,8573,반도체,중국,Export,154142306,4567.996571
2023-03-01,8524,반도체,중국,Import,0,674.8101259
2023-04-01,8518,반도체,중국,Export,108257116,
2023-05-01,8511,반도체,중국,Export,400803959,1620.773599
2023-06-01,8527,반도체,중국,Import,0,2038.170911
2023-07-01,8520,반도체,중국,Export,350541124,4314.599746
2023-08-01,8595,반도체,중국,Export,377089203,815.0181628
2023-09-01,8588,반도체,중국,Export,254455195,3128.963098
2023-10-01,8541,반도체,중국,Import,0,454.8397335
2023-11-01,8539,반도체,중국,Export,26269523,485.0346361
2023-12-01,8555,반도체,중국,Import,0,
2024-01-01,8584,반도체,중국,Export,70867783,4491.484383
2024-02-01,8541,반도체,중국,Export,156429584,4682.488895
2024-03-01,8593,반도체,중국,Import,0,4092.643057
2024-04-01,8513,반도체,중국,Export,302763172,3940.779512
2024-05-01,8569,반도체,중국,Export,368478865,
2024-06-01,8522,반도체,중국,Export,244846675,3117.135908
2024-07-01,8554,반도체,중국,Export,99237778,3969.522685
2024-08-01,8591,반도체,중국,Export,20221958,3300.988794
2024-09-01,8568,반도체,중국,Export,328659586,1077.75801
2024-10-01,8572,반도체,중국,Import,0,4218.216791
2024-11-01,8567,반도체,중국,Export,373926195,2184.917339
2024-12-01,8529,반도체,중국,Export,257373992,2762.172564
2025-01-01,8575,반도체,중국,Import,0,3985.484864
2025-02-01,8567,반도체,중국,Export,457058039,1132.244726
2025-03-01,8524,반도체,중국,Export,125538126,3902.401014
2025-04-01,8551,반도체,중국,Import,0,4859.835961
2025-05-01,8550,반도체,중국,Export,131143226,4366.674516
2025-06-01,8598,반도체,중국,Export,334684426,566.781389
2025-07-01,8537,반도체,중국,Import,0,3318.009656
2025-08-01,8565,반도체,중국,Import,0,1261.4365
2025-09-01,8523,반도체,중국,Export,172135787,2299.010112
2025-10-01,8514,반도체,중국,Export,131869993,3124.010434
2025-11-01,8593,반도체,중국,Export,195885709,3067.136972
2025-12-01,8558,반도체,중국,Import,0,4047.783749
2021-01-01,8770,자동차,중국,Export,26752005,4934.795604
2021-02-01,8735,자동차,중국,Import,0,698.3385786
2021-03-01,8778,자동차,중국,Export,60621388,2964.886432
2021-04-01,8797,자동차,중국,Import,0,185.1609719
2021-05-01,8748,자동차,중국,Import,0,2626.42054
2021-06-01,8793,자동차,중국,Import,0,750.3018037
2021-07-01,8717,자동차,중국,Export,485256902,560.1135074
2021-08-01,8714,자동차,중국,Import,0,1351.001971
2021-09-01,8752,자동차,중국,Import,0,2536.156344
2021-10-01,8785,자동차,중국,Export,65423811,3998.000821
2021-11-01,8740,자동차,중국,Export,332853880,2029.935588
2021-12-01,8775,자동차,중국,Export,499712725,336.2389904
2022-01-01,8757,자동차,중국,Export,378689603,543.3603069
2022-02-01,8713,자동차,중국,Import,0,4058.445116
2022-03-01,8792,자동차,중국,Export,435761306,1940.794034
2022-04-01,8794,자동차,중국,Import,0,1895.661521
2022-05-01,8769,자동차,중국,Export,278764863,3022.778827
2022-06-01,8720,자동차,중국,Export,305689810,3374.242713
2022-07-01,8712,자동차,중국,Import,0,4762.244942
2022-08-01,8735,자동차,중국,Export,63369987,830.0600943
2022-09-01,8724,자동차,중국,Import,0,2792.129768
2022-10-01,8752,자동차,중국,Export,18933965,
2022-11-01,8724,자동차,중국,Import,0,
2022-12-01,8795,자동차,중국,Export,105333578,915.0248779
2023-01-01,8736,자동차,중국,Export,465506879,2708.075045
2023-02-01,8739,자동차,중국,Export,360913830,1435.857604
2023-03-01,8784,자동차,중국,Export,70379100,4311.137387
2023-04-01,8772,자동차,중국,Import,0,2879.829876
2023-05-01,8777,자동차,중국,Export,52649091,4097.168353
2023-06-01,8756,자동차,중국,Import,0,3047.897919
2023-07-01,8718,자동차,중국,Export,398934486,3268.368976
2023-08-01,8751,자동차,중국,Import,0,1831.764759
2023-09-01,8759,자동차,중국,Import,0,4270.753878
2023-10-01,8728,자동차,중국,Export,315691069,2313.661626
2023-11-01,8742,자동차,중국,Export,116202502,
2023-12-01,8780,자동차,중국,Export,277881732,1236.540771
2024-01-01,8734,자동차,중국,Export,494014904,768.5547875
2024-02-01,8748,자동차,중국,Import,0,177.5233497
2024-03-01,8777,자동차,중국,Export,364926020,2934.095893
2024-04-01,8745,자동차,중국,Export,104014989,1684.520654
2024-05-01,8777,자동차,중국,Export,226780868,4176.129255
2024-06-01,8741,자동차,중국,Export,274605838,4412.387529
2024-07-01,8767,자동차,중국,Import,0,3380.48608
2024-08-01,8790,자동차,중국,Export,497785440,2287.126521
2024-09-01,8767,자동차,중국,Export,479236389,958.9844176
2024-10-01,8789,자동차,중국,Export,210644147,2171.176656
2024-11-01,8725,자동차,중국,Export,335806744,3997.704808
2024-12-01,8714,자동차,중국,Import,0,3866.139043
2025-01-01,8793,자동차,중국,Export,315556987,536.7097174
2025-02-01,8725,자동차,중국,Export,258350831,
2025-03-01,8732,자동차,중국,Import,0,1864.668397
2025-04-01,8782,자동차,중국,Import,0,4143.90193
2025-05-01,8791,자동차,중국,Import,0,4605.020669
2025-06-01,8721,자동차,중국,Export,465991655,670.1953496
2025-07-01,8797,자동차,중국,Export,270915784,3634.96813
2025-08-01,8723,자동차,중국,Import,0,2074.602876
2025-09-01,8791,자동차,중국,Export,479088215,2907.903002
2025-10-01,8763,자동차,중국,Import,0,3071.217628
2025-11-01,8761,자동차,중국,Export,256257377,2053.448836
2025-12-01,8717,자동차,중국,Export,244334671,2579.927019
2021-01-01,7221,철강,중국,Export,483252858,2219.239604
2021-02-01,7227,철강,중국,Export,146098785,
2021-03-01,7211,철강,중국,Import,0,
2021-04-01,7219,철강,중국,Export,113760121,2474.547776
2021-05-01,7288,철강,중국,Export,492002673,1271.982511
2021-06-01,7271,철강,중국,Export,140039830,971.0553005
2021-07-01,7213,철강,중국,Export,498381458,4088.454321
2021-08-01,7261,철강,중국,Import,0,4255.277838
2021-09-01,7272,철강,중국,Export,230394477,1053.650308
2021-10-01,7223,철강,중국,Export,96674701,1996.685926
2021-11-01,7271,철강,중국,Import,0,194.0421564
2021-12-01,7267,철강,중국,Import,0,3132.846146
2022-01-01,7294,철강,중국,Export,107439576,
2022-02-01,7269,철강,중국,Export,326584160,2546.735791
2022-03-01,7277,철강,중국,Import,0,1293.042045
2022-04-01,7261,철강,중국,Export,431186963,2022.729235
2022-05-01,7273,철강,중국,Export,395582659,1645.493789
2022-06-01,7238,철강,중국,Import,0,4658.562536
2022-07-01,7237,철강,중국,Export,322228723,3330.834219
2022-08-01,7288,철강,중국,Export,445801548,2308.036318
2022-09-01,7253,철강,중국,Export,260988741,
2022-10-01,7252,철강,중국,Export,332927411,4030.439735
2022-11-01,7229,철강,중국,Export,371379096,1830.931902
2022-12-01,7224,철강,중국,Export,471734540,3940.829116
2023-01-01,7214,철강,중국,Export,333548332,3845.426045
2023-02-01,7290,철강,중국,Export,154767940,3869.193424
2023-03-01,7259,철강,중국,Export,15109572,1351.526075
2023-04-01,7298,철강,중국,Import,0,305.5609948
2023-05-01,7221,철강,중국,Import,0,658.3875101
2023-06-01,7225,철강,중국,Export,407767196,3316.745176
2023-07-01,7249,철강,중국,Export,303280472,565.5573251
2023-08-01,7298,철강,중국,Import,0,1441.577407
2023-09-01,7260,철강,중국,Import,0,3264.472982
2023-10-01,7248,철강,중국,Import,0,4602.740015
2023-11-01,7230,철강,중국,Export,489414666,3766.140339
2023-12-01,7284,철강,중국,Export,166829317,3790.617946
2024-01-01,7222,철강,중국,Import,0,745.4709899
2024-02-01,7288,철강,중국,Export,257867819,4219.444837
2024-03-01,7270,철강,중국,Export,374277655,3098.508476
2024-04-01,7239,철강,중국,Export,437928228,3217.827634
2024-05-01,7267,철강,중국,Import,0,1308.726436
2024-06-01,7273,철강,중국,Import,0,1099.77461
2024-07-01,7236,철강,중국,Export,347063213,1938.773532
2024-08-01,7267,철강,중국,Import,0,3754.095535
2024-09-01,7229,철강,중국,Import,0,829.5514466
2024-10-01,7267,철강,중국,Import,0,2298.192092
2024-11-01,7235,철강,중국,Export,201847592,2121.84702
2024-12-01,7247,철강,중국,Export,91773707,988.4644716
2025-01-01,7280,철강,중국,Export,245676716,
2025-02-01,7264,철강,중국,Export,354442286,358.7394063
2025-03-01,7228,철강,중국,Export,142212152,4142.74211
2025-04-01,7231,철강,중국,Export,350753667,3755.033523
2025-05-01,7273,철강,중국,Import,0,1929.966721
2025-06-01,7227,철강,중국,Import,0,406.4569118
2025-07-01,7266,철강,중국,Export,467225532,3248.569478
2025-08-01,7256,철강,중국,Export,67984733,2108.53396
2025-09-01,7218,철강,중국,Import,0,1094.388201
2025-10-01,7212,철강,중국,Export,22836387,218.5396431
2025-11-01,7290,철강,중국,Import,0,
2025-12-01,7235,철강,중국,Import,0,4225.474477
2021-01-01,8483,기계,중국,Export,469303114,3559.493138
2021-02-01,8448,기계,중국,Import,0,2240.568443
2021-03-01,8463,기계,중국,Import,0,743.6120999
2021-04-01,8498,기계,중국,Export,478741164,
2021-05-01,8416,기계,중국,Export,131019611,4540.647445
2021-06-01,8463,기계,중국,Export,220154570,4239.468238
2021-07-01,8465,기계,중국,Export,32785287,3136.527257
2021-08-01,8459,기계,중국,Export,211436845,1801.982299
2021-09-01,8484,기계,중국,Export,482063272,2844.824099
2021-10-01,8423,기계,중국,Import,0,4908.355743
2021-11-01,8446,기계,중국,Export,287011824,2373.269185
2021-12-01,8470,기계,중국,Export,65906934,841.1094608
2022-01-01,8480,기계,중국,Export,345039511,2771.017088
2022-02-01,8437,기계,중국,Export,364179008,431.5749733
2022-03-01,8479,기계,중국,Export,120812055,4249.901768
2022-04-01,8431,기계,중국,Export,426487932,3378.209453
2022-05-01,8448,기계,중국,Import,0,405.1382188
2022-06-01,8419,기계,중국,Export,489250290,3990.54961
2022-07-01,8430,기계,중국,Export,90706113,1718.053818
2022-08-01,8494,기계,중국,Import,0,891.9370753
2022-09-01,8449,기계,중국,Export,492644931,
2022-10-01,8412,기계,중국,Export,455517900,2739.63881
2022-11-01,8461,기계,중국,Export,231331441,2047.168813
2022-12-01,8420,기계,중국,Import,0,2664.315193
2023-01-01,8445,기계,중국,Export,145456428,1630.510599
2023-02-01,8491,기계,중국,Export,87397863,3509.905679
2023-03-01,8412,기계,중국,Export,187919360,4496.213071
2023-04-01,8410,기계,중국,Import,0,1882.096311
2023-05-01,8413,기계,중국,Export,401310703,4842.003798
2023-06-01,8420,기계,중국,Import,0,4838.920415
2023-07-01,8430,기계,중국,Import,0,1682.754872
2023-08-01,8468,기계,중국,Export,89494368,161.7768479
2023-09-01,8434,기계,중국,Import,0,1127.789444
2023-10-01,8418,기계,중국,Export,411341121,2749.889399
2023-11-01,8420,기계,중국,Export,451635045,3293.172802
2023-12-01,8495,기계,중국,Import,0,1742.519432
2024-01-01,8471,기계,중국,Import,0,2158.581766
2024-02-01,8491,기계,중국,Export,376924905,3290.623166
2024-03-01,8478,기계,중국,Export,405035981,4234.312899
2024-04-01,8425,기계,중국,Import,0,
2024-05-01,8479,기계,중국,Export,429311256,1213.179829
2024-06-01,8472,기계,중국,Export,176786245,4345.29392
2024-07-01,8430,기계,중국,Import,0,1589.337366
2024-08-01,8485,기계,중국,Import,0,
2024-09-01,8415,기계,중국,Export,338658832,2846.159092
2024-10-01,8447,기계,중국,Export,121097887,1969.898505
2024-11-01,8487,기계,중국,Export,244744330,188.2004358
2024-12-01,8496,기계,중국,Import,0,3567.672799
2025-01-01,8428,기계,중국,Import,0,188.2321224
2025-02-01,8428,기계,중국,Export,437649381,651.643913
2025-03-01,8449,기계,중국,Export,139024734,326.0054652
2025-04-01,8423,기계,중국,Import,0,1556.465258
2025-05-01,8477,기계,중국,Export,41600722,4398.47334
2025-06-01,8495,기계,중국,Export,447228224,
2025-07-01,8457,기계,중국,Import,0,2955.753492
2025-08-01,8430,기계,중국,Export,41184045,4173.73022
2025-09-01,8482,기계,중국,Import,0,3379.081288
2025-10-01,8474,기계,중국,Import,0,3502.807235
2025-11-01,8455,기계,중국,Export,389201031,3049.424812
2025-12-01,8430,기계,중국,Export,319340701,2999.316095
2021-01-01,8580,반도체,일본,Import,0,1247.503789
2021-02-01,8575,반도체,일본,Export,143068694,2417.195951
2021-03-01,8547,반도체,일본,Export,44756785,1346.518746
2021-04-01,8536,반도체,일본,Export,78611807,1456.390108
2021-05-01,8549,반도체,일본,Export,240174443,2292.593892
2021-06-01,8570,반도체,일본,Export,12697841,137.55376
2021-07-01,8548,반도체,일본,Export,403266982,2903.038353
2021-08-01,8518,반도체,일본,Export,410174265,1494.355279
2021-09-01,8568,반도체,일본,Import,0,4383.690371
